generation,creatures_remaining,best_fitness,avg_fitness,total_apples_deposited
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,1,0.00,0.00,0
20,6,0.00,0.00,0
21,11,0.00,0.00,0
22,18,110.00,6.11,11
23,23,190.00,15.65,36
24,17,120.00,17.06,29
25,24,310.00,27.08,65
26,19,200.00,52.11,99
27,20,210.00,65.50,131
28,17,220.00,75.88,129
29,30,240.00,91.33,274
30,45,290.00,104.22,469
31,27,200.00,100.37,271
32,24,260.00,105.42,253
33,33,240.00,99.09,327
34,41,290.00,100.24,411
35,36,300.00,120.83,435
36,24,230.00,139.17,334
37,32,280.00,125.00,400
38,34,280.00,107.06,364
39,31,260.00,149.03,462
40,33,350.00,134.24,443
41,35,300.00,146.57,513
42,36,310.00,191.11,688
43,37,330.00,164.86,610
44,34,380.00,145.00,493
45,32,360.00,162.50,520
46,39,430.00,173.08,675
47,40,320.00,186.50,746
48,35,370.00,197.14,690
49,38,340.00,180.00,684
50,38,320.00,190.00,722
