generation,creatures_remaining,best_fitness,avg_fitness,total_apples_deposited
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,1,0.00,0.00,0
9,2,0.00,0.00,0
10,18,220.00,47.22,85
11,11,240.00,98.18,108
12,14,390.00,124.29,174
13,19,380.00,111.05,211
14,33,330.00,102.12,337
15,13,330.00,116.92,152
16,31,350.00,114.84,356
17,20,200.00,89.00,178
18,33,260.00,112.12,370
19,21,190.00,86.19,181
20,29,260.00,107.93,313
21,27,240.00,121.11,327
22,42,340.00,137.62,578
23,44,300.00,151.14,665
24,47,340.00,151.28,711
25,38,480.00,168.16,639
26,40,470.00,171.00,684
27,42,410.00,202.62,851
28,45,450.00,196.89,886
29,38,550.00,172.11,654
30,44,390.00,198.41,873
31,41,500.00,183.17,751
32,42,420.00,194.52,817
33,48,460.00,215.42,1034
34,45,430.00,222.67,1002
35,41,460.00,258.05,1058
36,42,520.00,230.95,970
37,43,460.00,201.16,865
38,45,440.00,216.44,974
39,39,640.00,179.49,700
40,43,430.00,204.65,880
41,46,520.00,251.96,1159
42,45,530.00,238.67,1074
43,46,590.00,305.00,1403
44,47,510.00,299.57,1408
45,47,480.00,321.28,1510
46,49,570.00,308.78,1513
47,45,540.00,334.22,1504
48,47,590.00,333.83,1569
49,48,530.00,302.71,1453
50,50,470.00,305.60,1528
